epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
15,9426.87,0.90562,0.7042,0.99512,0.9363,0.80715,0.87184,0.72493,0.74921,3.40404,0.87532,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,10043.6,0.89763,0.68715,0.99029,0.92703,0.80627,0.86556,0.72102,0.74504,3.76808,0.87214,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,10660.8,0.88272,0.67325,0.98285,0.8956,0.80973,0.86553,0.72334,0.73382,3.54571,0.86764,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,11278.6,0.87211,0.65808,0.97994,0.91203,0.80817,0.86861,0.72899,0.72662,3.60824,0.86507,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,11891.7,0.86761,0.65293,0.97519,0.90757,0.81546,0.86531,0.7271,0.73002,3.83531,0.86449,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,12504.3,0.85782,0.63946,0.97137,0.92122,0.81014,0.87453,0.73768,0.71765,3.4762,0.86066,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,13117.2,0.85031,0.62589,0.96845,0.91374,0.81541,0.87488,0.7402,0.7137,3.4366,0.8592,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,13731.8,0.84346,0.6201,0.96557,0.89701,0.8127,0.86742,0.73338,0.71771,3.91379,0.86037,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,14345.8,0.83536,0.61165,0.96427,0.8905,0.81431,0.86564,0.7324,0.71485,4.27034,0.85964,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,14959.8,0.8274,0.60191,0.95945,0.88765,0.81896,0.86329,0.73183,0.71126,4.56236,0.85957,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,15573.4,0.81797,0.59151,0.95311,0.90726,0.81235,0.8705,0.73721,0.71225,4.05523,0.85862,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,16188.3,0.81367,0.58582,0.95242,0.91309,0.81579,0.87415,0.74034,0.70936,3.79368,0.85765,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,16802.4,0.80815,0.57695,0.94947,0.92446,0.81665,0.8779,0.74304,0.70846,3.43931,0.85734,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,17415.4,0.79861,0.57091,0.94686,0.91467,0.81642,0.87419,0.73991,0.70976,3.65058,0.85766,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,18030.5,0.78832,0.55865,0.94319,0.91753,0.81555,0.87313,0.73954,0.70984,3.58476,0.85801,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,18644.4,0.78562,0.55322,0.94178,0.91573,0.81616,0.8732,0.7398,0.71043,3.5197,0.85799,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,19256.2,0.77182,0.54179,0.93614,0.91596,0.81469,0.87283,0.73972,0.71001,3.59689,0.85754,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,19868.8,0.76691,0.53961,0.93417,0.91965,0.81193,0.87296,0.73985,0.70914,3.60105,0.85697,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,20482.3,0.76063,0.52754,0.93184,0.92058,0.81196,0.87197,0.73985,0.7088,3.58251,0.85595,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,21095.2,0.75316,0.52549,0.92936,0.92169,0.81161,0.87205,0.73962,0.70879,3.55002,0.85587,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,21710,0.7447,0.51641,0.92521,0.92108,0.81074,0.87271,0.74021,0.70875,3.54363,0.85579,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,22324.4,0.7368,0.50711,0.92104,0.92156,0.81058,0.87347,0.74014,0.70924,3.50945,0.85567,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,22937.2,0.72963,0.4997,0.91908,0.92521,0.80978,0.87424,0.74066,0.70952,3.46248,0.85552,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,23550.6,0.7201,0.49232,0.91637,0.92614,0.80988,0.87517,0.74099,0.70899,3.39989,0.85515,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,24164.3,0.71654,0.4889,0.91467,0.92608,0.80978,0.8751,0.74132,0.70838,3.37034,0.85486,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,24776.9,0.70837,0.48096,0.91075,0.92602,0.80949,0.87481,0.74091,0.70796,3.36139,0.85482,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,25387.8,0.65874,0.40377,0.88973,0.92677,0.80894,0.87498,0.74161,0.70646,3.32271,0.85437,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,25998.4,0.64643,0.38778,0.88518,0.92938,0.80835,0.87544,0.74199,0.70547,3.26054,0.85418,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
